Part,Division,Subdivision,Clause,Clause Title,Start Page,End Page,Full Reference,Type,Text
Part 1—Preliminary,Division 2—Definitions and interpretation,,8,Use of buildings,31,32,Part 1—Preliminary > Division 2—Definitions and interpretation > 8,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 1—Preliminary 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
15 
  
 
(d) it is designated by the relevant council as 
likely to be flooded by waters from— 
 
(i) a waterway, as defined in section 3(1) 
of the Water Act 1989; or 
 
(ii) any land upon which water 
concentrates or upon or over which 
surface water usually or occasionally 
flows (whether in a defined channel or 
otherwise) including land affected by 
flow from a drainage system. 
 
(3) For the purposes of subregulation (1), the width of 
a street must take into account the accumulative 
width of all parts of a street including, for 
example, footways and roads. 
 
6 Interpretation 
If a provision of any document applied, adopted 
or incorporated by, or referred to in, these 
Regulations is inconsistent with any provision in 
these Regulations, the provision in these 
Regulations prevails. 
 
7 Numerical values 
The numerical values prescribed in these 
Regulations must be applied subject to tolerances 
according to any appropriate code, standard, rule, 
specification or provision adopted by reference in 
these Regulations, or normal trade practice, or 
good practice, as the case requires. 
 
8 Use of buildings 
In these Regulations any reference to the purpose 
for which a building is used includes the purpose 
for which it is proposed to be used."
Part 1—Preliminary,Division 2—Definitions and interpretation,,9,Approved forms,32,33,Part 1—Preliminary > Division 2—Definitions and interpretation > 9,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 1—Preliminary 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
16 
  
 
9 Approved forms 
 
(1) The Authority may from time to time approve 
forms for the purposes of these Regulations. 
 
(2) The Authority must publish any approved form in 
the Government Gazette."
Part 2—Building Code of Australia,,,,Part 2—Building Code of Australia,33,33,Part 2—Building Code of Australia,Part,
Part 2—Building Code of Australia,,,10,Building Code of Australia,33,33,Part 2—Building Code of Australia > 10,Clause,
Part 2—Building Code of Australia,,,11,Use of BCA terms,33,33,Part 2—Building Code of Australia > 11,Clause,
Part 2—Building Code of Australia,,,12,Classification of buildings,33,33,Part 2—Building Code of Australia > 12,Clause,
Part 2—Building Code of Australia,,,13,Relevant building surveyor must determine the classification of a building,33,34,Part 2—Building Code of Australia > 13,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 2—Building Code of Australia 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
17 
  
Part 2—Building Code of Australia 
 
10 Building Code of Australia 
The BCA is adopted by and forms part of these 
Regulations as modified by these Regulations. 
 
* 
* 
* 
* 
* 
 
 
 
 
 
 
 
11 Use of BCA terms 
Subject to the Act and to regulations 5 and 6, 
words and expressions used in these Regulations 
have the same meanings as they have in the BCA. 
 
12 Classification of buildings 
For the purposes of these Regulations, buildings 
must be classified as set out in the BCA. 
 
13 Relevant building surveyor must determine the 
classification of a building 
 
(1) The relevant building surveyor must determine 
the classification of a building when performing a 
function under the Act or these Regulations. 
 
(2) If there is any doubt as to the classification of a 
building under the BCA, the relevant building 
surveyor must classify the building as belonging 
to the class it most closely resembles. 
Reg. 10A 
inserted by 
S.R. No. 
102/2023 
reg. 4, 
amended by 
S.R. No. 
122/2023 
reg. 4, 
revoked by 
S.R. No. 
38/2018 
reg. 10A(3)."
Part 3—Owner-builders,,,,Part 3—Owner-builders,34,34,Part 3—Owner-builders,Part,
Part 3—Owner-builders,Division 1—Applications for certificates of consent for owner-builders,,,Division 1—Applications for certificates of consent for owner-builders,34,34,Part 3—Owner-builders > Division 1—Applications for certificates of consent for owner-builders,Division,
Part 3—Owner-builders,Division 1—Applications for certificates of consent for owner-builders,,14,Applications for certificates of consent,34,35,Part 3—Owner-builders > Division 1—Applications for certificates of consent for owner-builders > 14,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 3—Owner-builders 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
18 
  
Part 3—Owner-builders 
Division 1—Applications for certificates of 
consent for owner-builders 
 
14 Applications for certificates of consent 
 
(1) An application for a certificate of consent to carry 
out domestic building work on land must be in the 
form approved by the Authority and contain the 
information set out in subregulation (2). 
 
(2) For the purposes of section 25C(2)(a) of the 
Act, the following information is the prescribed 
information to be contained in the application— 
 
(a) the address of the land on which the 
domestic building work is to be carried out; 
 
(b) the name, address, telephone number and 
ABN, ACN or ARBN (if applicable) of each 
owner of the land; 
 
(c) if the applicant is not an owner of the land, 
the name, address, telephone number and 
ABN, ACN or ARBN (if applicable) of the 
applicant; 
 
(d) a description of the proposed domestic 
building work; 
 
(e) details of the cost of the proposed domestic 
building work; 
 
(f) whether or not a building permit referred to 
in section 25E(1)(e), (f) or (g) of the Act has 
been issued in the previous 5 years; 
 
(g) the type of work in which the applicant is 
engaged or intends to engage, and whether it 
is for profit or gain;"
Part 3—Owner-builders,Division 1—Applications for certificates of consent for owner-builders,,15,Information to accompany application for certificate of consent,35,35,Part 3—Owner-builders > Division 1—Applications for certificates of consent for owner-builders > 15,Clause,
Part 3—Owner-builders,Division 1—Applications for certificates of consent for owner-builders,,16,Additional information to accompany application for certificate of consent if land is owned by body corporate,35,36,Part 3—Owner-builders > Division 1—Applications for certificates of consent for owner-builders > 16,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 3—Owner-builders 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
19 
  
 
(h) if the applicant intends to seek an exemption 
under section 25E(4) of the Act, details of 
the grounds on which the exemption is 
sought. 
 
15 Information to accompany application for 
certificate of consent 
For the purposes of section 25C(2)(c)(i) of the 
Act, an application for a certificate of consent 
must be accompanied by the following 
information— 
 
(a) any evidence or proof of identity of the 
applicant that is required by the Authority; 
 
(b) if the land is under the operation of the 
Transfer of Land Act 1958, a copy of the 
certificate of title for the land dated within 
7 days before the date of the application; 
 
(c) if the land is not under the operation of the 
Transfer of Land Act 1958, any evidence 
of ownership of the land required by the 
Authority; 
 
(d) if the applicant co-owns the land, a written 
statement from each other owner, stating 
that the owner authorises the making of the 
application dated within 28 days before the 
date of the application. 
 
16 Additional information to accompany application 
for certificate of consent if land is owned by body 
corporate 
For the purposes of section 25C(2)(c)(i) of 
the Act, an application for a certificate of 
consent must be accompanied by the following 
information in addition to the information 
required under regulation 15, if the land to 
which the application relates is owned by a 
body corporate—"
Part 3—Owner-builders,Division 1—Applications for certificates of consent for owner-builders,,17,Additional information to accompany application for certificate of consent if land is subject to trust,36,37,Part 3—Owner-builders > Division 1—Applications for certificates of consent for owner-builders > 17,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 3—Owner-builders 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
20 
  
 
(a) if the owner is a company incorporated 
under the Corporations Act, a copy of a 
record of a current company extract 
dated within 7 days before the date of the 
application, from the records maintained by 
the Australian Securities and Investments 
Commission continued under the ASIC Act 
that shows the company name, ABN, ACN, 
the names of the directors and the address of 
the company's registered office; 
 
(b) if the body corporate is not a company 
incorporated under the Corporations Act, 
any evidence of incorporation required by 
the Authority; 
 
(c) a written authorisation of the body corporate 
to the making of the application and the 
carrying out of the domestic building work 
on the land by the applicant dated within 
28 days before the date of the application; 
 
(d) a description of the nature of the business of 
the body corporate. 
 
17 Additional information to accompany application 
for certificate of consent if land is subject to trust 
For the purposes of section 25C(2)(c)(i) of the 
Act, an application for a certificate of consent 
must be accompanied by the following 
information, in addition to the information 
required under regulation 15, if the land to which 
the application relates is the subject of a trust— 
 
(a) a certified copy of the trust deed, together 
with any subsequent amendments, showing 
the name of the trust, the name of each 
trustee and the name of each beneficiary 
and which is certified within 28 days before 
the date of the application;"
Part 3—Owner-builders,Division 1—Applications for certificates of consent for owner-builders,,18,Fee for an application for certificate of consent,37,37,Part 3—Owner-builders > Division 1—Applications for certificates of consent for owner-builders > 18,Clause,
Part 3—Owner-builders,Division 1—Applications for certificates of consent for owner-builders,,19,Required knowledge for owner-builders,37,37,Part 3—Owner-builders > Division 1—Applications for certificates of consent for owner-builders > 19,Clause,
Part 3—Owner-builders,Division 1—Applications for certificates of consent for owner-builders,,19A,Exemption relating to small second dwellings,37,37,Part 3—Owner-builders > Division 1—Applications for certificates of consent for owner-builders > 19A,Clause,
Part 3—Owner-builders,Division 2—Certificates of consent,,,Division 2—Certificates of consent,37,37,Part 3—Owner-builders > Division 2—Certificates of consent,Division,
Part 3—Owner-builders,Division 2—Certificates of consent,,20,Information in certificate of consent,37,38,Part 3—Owner-builders > Division 2—Certificates of consent > 20,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 3—Owner-builders 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
21 
  
 
(b) a written authorisation by each trustee of the 
trust to the making of the application and to 
the carrying out of the domestic building 
work by the applicant on the land dated 
within 28 days before the date of the 
application;  
 
(c) a description of the nature of the business of 
the trust (if any). 
Note 
It is an offence under section 246 of the Act to make false or 
misleading statements or provide false or misleading information. 
 
18 Fee for an application for certificate of consent 
For the purposes of section 25C(2)(c)(ii) of the 
Act, the fee for an application for the issue of a 
certificate of consent is 14⸱42 fee units. 
 
19 Required knowledge for owner-builders 
For the purposes of section 25E(1)(ab) of the Act, 
the knowledge of the duties and responsibilities of 
an owner-builder set out in Schedule 2 is 
prescribed. 
 
19A Exemption relating to small second dwellings 
Section 25E(1)(d), (e), (f) and (g) of the Act does 
not apply in respect of the decision of the 
Authority to issue a certificate of consent under 
section 25C of the Act if the application for a 
building permit to carry out domestic building 
work is in relation to the construction of a small 
second dwelling. 
Division 2—Certificates of consent 
 
20 Information in certificate of consent 
For the purposes of section 25G(1)(a) of the Act, 
a certificate of consent must contain the following 
information⎯ 
Reg. 18 
amended by 
S.R. No. 
59/2024 reg. 5. 
Reg. 19A 
inserted by 
S.R. No. 
132/2023 
reg. 6."
